Afraga	Africa
Roinn a' Chuain Shèimh	Oceania
An Crios-Grèine	Solar System
Am Muir Baltach	Baltic Sea
Haidridean	Hydrogen
Fiacal	Human tooth
Ifrinn	Hell
Angela Merkel	Angela Merkel
Leabhar	Book
Là	Day
Tiomor an Ear	East Timor
Oidhche	Night
Bliadhna	Year
Linn (100 bliadhnaichean)	Century
Łódź	Łódź
Oslo	Oslo
Bonn (a' Ghearmailt)	Bonn
Katowice	Katowice
Toll Dubh	Black hole
Luís Vaz de Camões	Luís de Camões
Lisbon	Lisbon
Ì Chaluim Chille	Iona
Padova	Padua
Nicolaus Copernicus	Nicolaus Copernicus
Ludwigsburg	Ludwigsburg
Gualan	Carbon
Naitridean	Nitrogen
Bergamo	Bergamo
Ogsaidean	Oxygen
Planaid	Planet
Cleopatra	Cleopatra
Ceòl	Music
Venezia	Venice
Roazhon	Rennes
Lille	Lille
Moscobha	Moscow
Eadailtis	Italian language
Sankt Peterburg	Saint Petersburg
An t-Siad	Chad
Sodium	Sodium
Almain	Aluminium
Sealainn Nuadh	New Zealand
Na h-Innseachan	India
Sileagan	Silicon
Tubhalu	Tuvalu
Rosg	Prose
Iarann	Iron
Tonga	Tonga
Samoa (Dùthaich)	Samoa
Na h-Eileanan Sholaimh	Solomon Islands
Bhanuatu	Vanuatu
Delft	Delft
Gini Nuadh Phaputhach	Papua New Guinea
William Shakespeare	William Shakespeare
Zuid-Holland	South Holland
Palau	Palau
Nauru	Nauru
Firefox	Firefox
Noord-Holland	North Holland
Na Meanbh Eileanan	Federated States of Micronesia
Zeeland	Zeeland
Flevoland	Flevoland
Na h-Eileanan Mharshall	Marshall Islands
Kiribati	Kiribati
Mongòilia	Mongolia
Fìdi	Fiji
A' Bheiniseala	Venezuela
Tàileasg	Chess
Maine	Maine
Each	Horse
Amsterdam	Amsterdam
Ball-airm	Weapon
Beathach	Animal
Suranam	Suriname
Paraguaidh	Paraguay
Guiana	Guyana
Ealain	Art
Eacuador	Ecuador
Coloimbia	Colombia
Bùdachas	Buddhism
Groningen	Groningen
Boilibhia	Bolivia
Groningen (Roinn)	Groningen (province)
Copar	Copper
Trianaid agus Tobago	Trinidad and Tobago
Lus	Plant
Naomh Bhionsant agus Eileanan Greanadach	Saint Vincent and the Grenadines
Hampshire Nuadh	New Hampshire
Naomh Lùisia	Saint Lucia
Leonardo Da Vinci	Leonardo da Vinci
Naomh Crìstean agus Nibheis	Saint Kitts and Nevis
Fungas	Fungus
Dario Fo	Dario Fo
Iaimeuca	Jamaica
Greanada	Grenada
Fryslân	Friesland
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Guatamala	Guatemala
Gelderland	Gelderland
Utrecht (Roinn)	Utrecht (province)
Na h-Eileanan Bhathama	The Bahamas
Connecticut	Connecticut
Cearc	Chicken
Antigua agus Barbuda	Antigua and Barbuda
Hawaii	Hawaii
Hondùras	Honduras
Doiminicia	Dominica
Jersey	Jersey
Poblachd Dhoiminicia	Dominican Republic
Muc	Domestic pig
Cuan Argtach	Arctic Ocean
Haiti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salbhador	El Salvador
Zwolle	Zwolle
Ioràn	Iran
Ioràc	Iraq
Alasca	Alaska
Assen	Assen
Costa Rica	Costa Rica
Iosrael	Israel
Utrecht	Utrecht
Panama	Panama
Iemen	Yemen
Lausanne	Lausanne
Pòlais	Polish language
Iòrdan (dùthaich)	Jordan
Niocaragua	Nicaragua
Florida	Florida
Cìorgastan	Kyrgyzstan
Arizona	Arizona
Cubhait	Kuwait
Làthos	Laos
Leabanon	Lebanon
Oregon	Oregon
Na h-Eileanan Mhaladaibh	Maldives
Na h-Aimearagan	Americas
Utah	Utah
Bò	Cattle
Malaidhsia	Malaysia
Valais (Canton)	Valais
Mianmar	Burma
Neapàl	Nepal
Omàn	Oman
Pagastàn	Pakistan
Catar	Qatar
Aràibia nan Sabhd	Saudi Arabia
Sri Lanca	Sri Lanka
Iosif Stalin	Joseph Stalin
Siria	Syria
Platon	Plato
Joseph Brodsky	Joseph Brodsky
Taidigeastàn	Tajikistan
Poblachd na Sìne	Taiwan
Aristoteles	Aristotle
Dùthaich nan Tàidh	Thailand
Trèana	Train
Rèidio	Radio
Turcmanastàn	Turkmenistan
Na h-Iomaratan Arabach Aonaichte	United Arab Emirates
Bhiet-Nam	Vietnam
Charlie Chaplin	Charlie Chaplin
Coirèa a Deas	South Korea
Afganastan	Afghanistan
J.R.R. Tolkien	J. R. R. Tolkien
Òr	Gold
Bangladais	Bangladesh
Franz Kafka	Franz Kafka
Màili	Mali
Sokrates	Socrates
Angola	Angola
Butàn	Bhutan
Brùnaigh	Brunei
Tansania	Tanzania
Roald Amundsen	Roald Amundsen
Na h-Eileanan Filipineach	Philippines
Poblachd Meadhan Afraga	Central African Republic
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tògo	Togo
Tuinisia	Tunisia
Saimbia	Zambia
Siombabue	Zimbabwe
Beijing	Beijing
Sudàn a Deas	South Sudan
Beinin	Benin
Botsuana	Botswana
Buirciona Faso	Burkina Faso
Burundaidh	Burundi
Na h-Eileanan Chomoro	Comoros
A' Chongo	Republic of the Congo
Poblachd Dheamocrach na Congo	Democratic Republic of the Congo
San Antonio, Texas	San Antonio
Diobùtaidh	Djibouti
Bayern	Bavaria
Gini Mheadhan-Chriosach	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eartra	Eritrea
New Delhi	New Delhi
Pàpa Iain Pòl II	Pope John Paul II
Amersfoort	Amersfoort
Tbilisi	Tbilisi
Naoidhean	Infant
Gabon	Gabon
Pàipear-èibhinn	Comics
A' Ghaimbia	The Gambia
Gini	Guinea
Gini-Bissau	Guinea-Bissau
Costa Ìbhri	Ivory Coast
Camarun	Cameroon
Cape Verde	Cape Verde
Leasoto	Lesotho
Libèiria	Liberia
Libia	Libya
Aachen	Aachen
Madagascar	Madagascar
Malabhaidh	Malawi
Stuttgart	Stuttgart
Moratainia	Mauritania
Na h-Eileanan Mhoiriseas	Mauritius
Maroco	Morocco
Mòsaimbic	Mozambique
Naimibia	Namibia
France Prešeren	France Prešeren
Nìgeir	Niger
Nìgeiria	Nigeria
Biel/Bienne	Biel/Bienne
Charles Darwin	Charles Darwin
Uganda	Uganda
Rubhanda	Rwanda
São Tomé agus Príncipe	São Tomé and Príncipe
Karlsruhe	Karlsruhe
Seanagal	Senegal
Na h-Eileanan Sheiseall	Seychelles
Carl Linnaeus	Carl Linnaeus
Siarra Leòmhann	Sierra Leone
Somàilia	Somalia
Iulius Caesar	Julius Caesar
Sudan	Sudan
Dùthaich nan Suasaidh	Swaziland
Bogha-frois	Rainbow
Hamburg	Hamburg
Loch Ontario	Lake Ontario
Gnè-fhàs	Evolution
Loch Superior	Lake Superior
Dante Alighieri	Dante Alighieri
Geòlas	Geology
Cruinn-eòlas	Geography
Craiceann	Skin
Ainmear	Noun
Pràg	Prague
Airgead (meatailt)	Silver
Staoin	Tin
Noord-Brabant	North Brabant
Bill Clinton	Bill Clinton
Lorraine	Lorraine (region)
Alsace	Alsace
Auvergne	Auvergne (region)
Mumbai	Mumbai
Michigan	Michigan
Loch Michigan	Lake Michigan
Bourgogne	Burgundy
Aquitaine	Aquitaine
Puerto Rico	Puerto Rico
Kerala	Kerala
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Sagsainn Ìosail	Lower Saxony
Nordrhein-Westfalen	North Rhine-Westphalia
Hessen	Hesse
Rheinland-Pfalz	Rhineland-Palatinate
Saarland	Saarland
Sagsainn	Saxony
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thuringia
Sagsainn-Anhalt	Saxony-Anhalt
Dakota a Tuath	North Dakota
Brandenburg	Brandenburg
Lombardia	Lombardy
Dakota a Deas	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piedmont
Ierusalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valley
Washington (stàit)	Washington (state)
Bruce Springsteen	Bruce Springsteen
Nevada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige/Südtirol
Cuan Innseanach	Indian Ocean
Veneto	Veneto
Am Muir Caraibeach	Caribbean Sea
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Kofi Annan	Kofi Annan
Liguria	Liguria
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
Frédéric Chopin	Frédéric Chopin
Toscana	Tuscany
Marche	Marche
Umbria	Umbria
Roinn-seòrsa:Categories	Category:Contents
Lazio	Lazio
Abruzzo	Abruzzo
Grenoble	Grenoble
Dàmais	Draughts
Dortmund	Dortmund
Gent	Ghent
Chicago	Chicago
The Beatles	The Beatles
Maastricht	Maastricht
Arnhem	Arnhem
Spàinntis	Spanish language
Friedrich A. von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Pittsburgh, Pennsylvania	Pittsburgh
Opra	Opera
Philadelphia, Pennsylvania	Philadelphia
Kolkata	Kolkata
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Damhan-allaidh	Spider
Islamabad	Islamabad
Meas	Fruit
Muncaidh	Monkey
Virginia	Virginia
Virginia an Iar	West Virginia
Matterhorn	Matterhorn
Loch Huron	Lake Huron
Eabhraig Nuadh (stàit)	New York
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Ohio	Ohio
Virgil	Virgil
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Jersey Nuadh	New Jersey
Giobraltair	Gibraltar
Fionnlannais	Finnish language
Indiana	Indiana
Vespasian	Vespasian
Juventus	Juventus F.C.
Trajan	Trajan
Georgia (stàit)	Georgia (U.S. state)
Marcus Aurelius	Marcus Aurelius
Zagreb	Zagreb
Campania	Campania
Texas	Texas
Molise	Molise
Puglia	Apulia
Genova	Genoa
Basilicata	Basilicata
Carolina a Tuath	North Carolina
Cromanachd	Field hockey
Carolina a Deas	South Carolina
Calabria	Calabria
Sicilia	Sicily
Manila	Manila
Sardainia	Sardinia
Maurits Cornelis Escher	M. C. Escher
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Meagsago (baile)	Mexico City
Tokyo	Tokyo
La Paz	La Paz
Barcelona	Barcelona
Anann	Pineapple
Mississippi	Mississippi
Fernão de Magalhães	Ferdinand Magellan
Mississippi (abhainn)	Mississippi River
Amar-snàmh	Swimming pool
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
Meagsago Nuadh	New Mexico
An Àithne	Athens
Minnesota	Minnesota
Baghdad	Baghdad
Caracas	Caracas
Àm Coitcheann Co-òrdanaichte	Coordinated Universal Time
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Baile Guatemala	Guatemala City
Kansas	Kansas
La Habana	Havana
Hindi	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Édith Piaf	Édith Piaf
Oklahoma	Oklahoma
An Cuan a Tuath	North Sea
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hànobhar	Hanover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
München	Munich
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Magdeburg
Innsbruck	Innsbruck
Vienna	Vienna
Copenhagen	Copenhagen
Stockholm	Stockholm
Helsinki	Helsinki
Baile Átha Cliath	Dublin
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt
Wrocław	Wrocław
Lucsamburg (baile)	Luxembourg (city)
Vaduz	Vaduz
Bìoball	Bible
San Marino (baile)	City of San Marino
Phnom Penh	Phnom Penh
Ho Chi Minh (baile)	Ho Chi Minh City
Hanoi	Hanoi
Eaglais Fhìor Ìosa	True Jesus Church
Beurla	English language
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Đồng Hới
Concepción	Concepción, Chile
Bologna	Bologna
Kiev	Kiev
Ontario	Ontario
Ottawa	Ottawa
Juba	Juba
Manitoba	Manitoba
Alberta	Alberta
Alba Nuadh	Nova Scotia
Yerevan	Yerevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartoum	Khartoum
Brunswick Nuadh	New Brunswick
Columbia Bhreatannach	British Columbia
Eilean Eòin	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Dà-ogsaid gualain	Carbon dioxide
2013	2013
2014	2014
2015	2015
An Talamh Ùr is Labrador	Newfoundland and Labrador
2008	2008
Roinnean an Iar Thuath	Northwest Territories
Roinn an Iukon	Yukon
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Iqaluit	Iqaluit
1900	1900
1901	1901
Livius	Livy
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florence
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
Whitehorse	Whitehorse, Yukon
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Baile Naoimh Eòin, an Talamh Ùr	St. John's, Newfoundland and Labrador
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberg
1999	1999
1917	1917
1918	1918
Biadh	Food
Edmonton	Edmonton
Nathair	Snake
Bochum	Bochum
Regina, Saskatchewan	Regina, Saskatchewan
Baile Sheàrlot	Charlottetown
Victoria, Columbia Bhreatannach	Victoria, British Columbia
Winnipeg	Winnipeg
Fredericton	Fredericton
Halafacs	Halifax, Nova Scotia
Quebec (baile)	Quebec City
1 am Faoilleach	January 1
2 am Faoilleach	January 2
1920	1920
3 am Faoilleach	January 3
1919	1919
1921	1921
1922	1922
Lund	Lund
4 am Faoilleach	January 4
1923	1923
1924	1924
Georges Pompidou	Georges Pompidou
Romulus agus Remus	Romulus and Remus
5 am Faoilleach	January 5
Malmö	Malmö
6 am Faoilleach	January 6
7 am Faoilleach	January 7
8 am Faoilleach	January 8
9 am Faoilleach	January 9
10 am Faoilleach	January 10
11 am Faoilleach	January 11
12 am Faoilleach	January 12
Buzz Aldrin	Buzz Aldrin
13 am Faoilleach	January 13
Birmingham	Birmingham
14 am Faoilleach	January 14
15 am Faoilleach	January 15
16 am Faoilleach	January 16
17 am Faoilleach	January 17
18 am Faoilleach	January 18
19 am Faoilleach	January 19
20 am Faoilleach	January 20
Tionndadh Gnìomhachais	Industrial Revolution
21 am Faoilleach	January 21
22 am Faoilleach	January 22
23 am Faoilleach	January 23
Impireachd na Ròimhe	Roman Empire
24 am Faoilleach	January 24
25 am Faoilleach	January 25
Minsk	Minsk
26 am Faoilleach	January 26
27 am Faoilleach	January 27
28 am Faoilleach	January 28
29 am Faoilleach	January 29
30 am Faoilleach	January 30
31 am Faoilleach	January 31
2 an Dùbhlachd	December 2
1 an Dùbhlachd	December 1
3 an Dùbhlachd	December 3
7 an Dùbhlachd	December 7
5 an Dùbhlachd	December 5
8 an Dùbhlachd	December 8
10 an Dùbhlachd	December 10
6 an Dùbhlachd	December 6
9 an Dùbhlachd	December 9
4 an Dùbhlachd	December 4
1 an Gearran	February 1
2 an Gearran	February 2
3 an Gearran	February 3
Kurów	Kurów
4 an Gearran	February 4
5 an Gearran	February 5
6 an Gearran	February 6
7 an Gearran	February 7
8 an Gearran	February 8
9 an Gearran	February 9
10 an Gearran	February 10
Ceimigeachd	Chemistry
Led Zeppelin	Led Zeppelin
14 an Gearran	February 14
13 an Gearran	February 13
15 an Gearran	February 15
11 an Gearran	February 11
12 an Gearran	February 12
19 an Gearran	February 19
17 an Gearran	February 17
16 an Gearran	February 16
18 an Gearran	February 18
20 an Gearran	February 20
21 an Gearran	February 21
22 an Gearran	February 22
23 an Gearran	February 23
24 an Gearran	February 24
25 an Gearran	February 25
26 an Gearran	February 26
27	27
27 an Gearran	February 27
28 an Gearran	February 28
11 an Dùbhlachd	December 11
29 an Gearran	February 29
12 an Dùbhlachd	December 12
13 an Dùbhlachd	December 13
14 an Dùbhlachd	December 14
15 an Dùbhlachd	December 15
2 am Màrt	March 2
3 am Màrt	March 3
5 am Màrt	March 5
1 am Màrt	March 1
7 am Màrt	March 7
8 am Màrt	March 8
4 am Màrt	March 4
10 am Màrt	March 10
11 am Màrt	March 11
6 am Màrt	March 6
13 am Màrt	March 13
9 am Màrt	March 9
12 am Màrt	March 12
15 am Màrt	March 15
14 am Màrt	March 14
16 an Dùbhlachd	December 16
17 an Dùbhlachd	December 17
16 am Màrt	March 16
17 am Màrt	March 17
Uisge For	River Forth
18 am Màrt	March 18
19 am Màrt	March 19
1989	1989
1988	1988
20 am Màrt	March 20
1987	1987
1986	1986
1985	1985
1984	1984
21 am Màrt	March 21
1983	1983
22 am Màrt	March 22
1982	1982
1981	1981
18 an Dùbhlachd	December 18
1980	1980
23 am Màrt	March 23
Mogadishu	Mogadishu
19 an Dùbhlachd	December 19
24 am Màrt	March 24
25 am Màrt	March 25
20 an Dùbhlachd	December 20
26 am Màrt	March 26
27 am Màrt	March 27
28 am Màrt	March 28
29 am Màrt	March 29
30 am Màrt	March 30
31 am Màrt	March 31
Nassau	Nassau, Bahamas
Ṣan'ā'	Sana'a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Pàpa Beinidict XVI	Pope Benedict XVI
15 an Giblean	April 15
13 an Giblean	April 13
12 an Giblean	April 12
14 an Giblean	April 14
11 an Giblean	April 11
10 an Giblean	April 10
8 an Giblean	April 8
9 an Giblean	April 9
7 an Giblean	April 7
6 an Giblean	April 6
5 an Giblean	April 5
4 an Giblean	April 4
3 an Giblean	April 3
1 an Giblean	April 1
2 an Giblean	April 2
16 an Giblean	April 16
17 an Giblean	April 17
18 an Giblean	April 18
19 an Giblean	April 19
20 an Giblean	April 20
21 an Giblean	April 21
22 an Giblean	April 22
23 an Giblean	April 23
24 an Giblean	April 24
25 an Giblean	April 25
26 an Giblean	April 26
27 an Giblean	April 27
28 an Giblean	April 28
29 an Giblean	April 29
30 an Giblean	April 30
Saideal (reul-eòlas)	Natural satellite
1 an Cèitean	May 1
2 an Cèitean	May 2
3 an Cèitean	May 3
4 an Cèitean	May 4
5 an Cèitean	May 5
6 an Cèitean	May 6
7 an Cèitean	May 7
8 an Cèitean	May 8
9 an Cèitean	May 9
10 an Cèitean	May 10
11 an Cèitean	May 11
12 an Cèitean	May 12
13 an Cèitean	May 13
14 an Cèitean	May 14
15 an Cèitean	May 15
16 an Cèitean	May 16
17 an Cèitean	May 17
18 an Cèitean	May 18
19 an Cèitean	May 19
20 an Cèitean	May 20
21 an Cèitean	May 21
22 an Cèitean	May 22
23 an Cèitean	May 23
24 an Cèitean	May 24
25 an Cèitean	May 25
26 an Cèitean	May 26
27 an Cèitean	May 27
28 an Cèitean	May 28
29 an Cèitean	May 29
30 an Cèitean	May 30
31 an Cèitean	May 31
Paul McCartney	Paul McCartney
Pit	Cunt
21 an Dùbhlachd	December 21
Pàpa Pius XII	Pope Pius XII
14 an t-Ògmhios	June 14
15 an t-Ògmhios	June 15
13 an t-Ògmhios	June 13
10 an t-Ògmhios	June 10
7 an t-Ògmhios	June 7
11 an t-Ògmhios	June 11
9 an t-Ògmhios	June 9
12 an t-Ògmhios	June 12
6 an t-Ògmhios	June 6
8 an t-Ògmhios	June 8
5 an t-Ògmhios	June 5
3 an t-Ògmhios	June 3
2 an t-Ògmhios	June 2
1 an t-Ògmhios	June 1
4 an t-Ògmhios	June 4
Ringo Starr	Ringo Starr
Napoli	Naples
22 an Dùbhlachd	December 22
S.S.C. Napoli	S.S.C. Napoli
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 an t-Ògmhios	June 16
30 an t-Ògmhios	June 30
29 an t-Ògmhios	June 29
28 an t-Ògmhios	June 28
26 an t-Ògmhios	June 26
25 an t-Ògmhios	June 25
22 an t-Ògmhios	June 22
27 an t-Ògmhios	June 27
24 an t-Ògmhios	June 24
20 an t-Ògmhios	June 20
23 an t-Ògmhios	June 23
19 an t-Ògmhios	June 19
18 an t-Ògmhios	June 18
21 an t-Ògmhios	June 21
17 an t-Ògmhios	June 17
23 an Dùbhlachd	December 23
Ceusair Uilleam II	Wilhelm II, German Emperor
Bruce Willis	Bruce Willis
Arnold Schwarzenegger	Arnold Schwarzenegger
15 an t-Iuchar	July 15
13 an t-Iuchar	July 13
12 an t-Iuchar	July 12
10 an t-Iuchar	July 10
9 an t-Iuchar	July 9
14 an t-Iuchar	July 14
8 an t-Iuchar	July 8
7 an t-Iuchar	July 7
6 an t-Iuchar	July 6
5 an t-Iuchar	July 5
