Afrika	Africa
Japonija	Japan
Pietų Amerika	South America
Norvegija	Norway
Anglija	England
Škotija	Scotland
Velsas	Wales
Šiaurės Airija	Northern Ireland
Airija	Republic of Ireland
Vengrija	Hungary
Ispanija	Spain
Jungtinės Amerikos Valstijos	United States
Belgija	Belgium
Liuksemburgas	Luxembourg
Visata	Universe
Žemė	Earth
Gyvybė	Life
Mirtis	Death
Žmogus	Human
Laimė	Happiness
George Washington	George Washington
Jack Bauer	Jack Bauer
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Majų kalendorius	Maya calendar
Suomija	Finland
Švedija	Sweden
Danija	Denmark
Lenkija	Poland
Lietuva	Lithuania
Italija	Italy
Šveicarija	Switzerland
Austrija	Austria
Graikija	Greece
Turkija	Turkey
Alus	Beer
Portugalija	Portugal
Europa	Europe
Azija	Asia
Šiaurės Amerika	North America
Antarktida	Antarctica
Vikipedija	Wikipedia
Nyderlandai	Netherlands
Varpa (lytinis organas)	Penis
PHP	PHP
Niujorkas	New York City
Vašingtonas	Washington, D.C.
San Fransiskas	San Francisco
Berlynas	Berlin
Los Andželas	Los Angeles
Boeing	Boeing
Airbus	Airbus
Kompiuteris	Computer
Bernas	Bern
Ženeva	Geneva
Ciurichas	Zürich
IRC	Internet Relay Chat
Internetas	Internet
Barack Obama	Barack Obama
Urugvajus	Uruguay
Bazelis	Basel
Spausdintuvas	Printer (computing)
MediaWiki	MediaWiki
Londonas	London
Kairas	Cairo
Galvos skausmas	Headache
Aleksandrija	Alexandria
Aleksandrija (Virdžinija)	Alexandria, Virginia
Obuolys	Apple
Paryžius	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android (operating system)
Google	Google
Meksika	Mexico
Atlanto vandenynas	Atlantic Ocean
Ramusis vandenynas	Pacific Ocean
Kalifornija	California
Bostonas	Boston
Pirmadienis	Monday
Erdvė	Space
Sausis	January
Vasaris	February
Kovas	March
Marsas (planeta)	Mars
Marsas (mitologija)	Mars (mythology)
Kenija	Kenya
Etiopija	Ethiopia
Monarchas	Monarch
Gana	Ghana
Balandis	April
Gegužė	May
Birželis	June
Liepa	July
Rugpjūtis	August
Rugsėjis	September
Spalis	October
Lapkritis	November
Gruodis	December
Antradienis	Tuesday
Trečiadienis	Wednesday
Ketvirtadienis	Thursday
Penktadienis	Friday
Šeštadienis	Saturday
Sekmadienis	Sunday
Rikis (šachmatai)	Bishop (chess)
Pėstininkas (šachmatai)	Pawn (chess)
Žirgas (šachmatai)	Knight (chess)
Bokštas (šachmatai)	Rook (chess)
Karalius (šachmatai)	King (chess)
Valdovė	Queen (chess)
Liūtas	Lion
Prancūzija	France
Esperanto	Esperanto
Šuo	Dog
Jungtinė Karalystė	United Kingdom
Katė	Cat
Kinijos Liaudies Respublika	China
Prancūzų kalba	French language
Vikižodynas	Wiktionary
Žuvys	Fish
Etanolis	Ethanol
Alkoholinis gėrimas	Alcoholic beverage
Brazilija	Brazil
Alkoholis	Alcohol
François Hollande	François Hollande
Rusija	Russia
Banginiai	Cetacea
Skaidula	Fiber
Šviesolaidis	Optical fiber
Jorkšyras	Yorkshire
Kvadratas	Square
Jūra	Sea
Juodoji jūra	Black Sea
Pi	Pi
Pi (raidė)	Pi (letter)
Wiki	Wiki
Torontas	Toronto
Alabama	Alabama
San Paulas	São Paulo
San Paulas (valstija)	São Paulo (state)
Kvebekas	Quebec
Pica	Pizza
Pasta (makaronai)	Pasta
Boeing 747	Boeing 747
Vikimedijos fondas	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Vokietija	Germany
Baltarusija	Belarus
Larry Sanger	Larry Sanger
Italijos himnas	Il Canto degli Italiani
Vokiečių kalba	German language
Islandija	Iceland
Dievas	God
Estija	Estonia
David Cameron	David Cameron
Saturnas	Saturn
Saturno žiedai	Rings of Saturn
Šokoladas	Chocolate
Lėktuvas	Airplane
Karas	War
1 (skaičius)	1 (number)
2 (skaičius)	2 (number)
3 (skaičius)	3 (number)
4 (skaičius)	4 (number)
5 (skaičius)	5 (number)
0 (skaičius)	0 (number)
Begalybė	Infinity
George Walker Bush	George W. Bush
Stačiakampis	Rectangle
Latvija	Latvia
Ukraina	Ukraine
Čekija	Czech Republic
Slovakija	Slovakia
Slovėnija	Slovenia
Vilnius	Vilnius
Moldavija	Moldova
Rumunija	Romania
Bulgarija	Bulgaria
Makedonija	Republic of Macedonia
Albanija	Albania
Grenlandija	Greenland
Kroatija	Croatia
Bosnija ir Hercegovina	Bosnia and Herzegovina
Nukas	Nuuk
Azerbaidžanas	Azerbaijan
Andora	Andorra
Kipras	Cyprus
Gruzija	Georgia (country)
Valonija	Wallonia
Kazachstanas	Kazakhstan
Malta	Malta
Monakas	Monaco
Juodkalnija	Montenegro
Vatikanas	Vatican City
San Marinas	San Marino
Briuselis	City of Brussels
Briuselio-sostinės regionas	Brussels
