非洲	Africa
日本	Japan
南美洲	South America
挪威	Norway
英格兰	England
苏格兰	Scotland
匈牙利	Hungary
西班牙	Spain
美国	United States
比利时	Belgium
卢森堡	Luxembourg
地球	Earth
人	Human
欢喜	Happiness
芬兰	Finland
瑞典	Sweden
波兰	Poland
立陶宛	Lithuania
意大利	Italy
瑞士	Switzerland
奥地利	Austria
希腊	Greece
土耳其	Turkey
啤酒	Beer
葡萄牙	Portugal
欧洲	Europe
亚洲	Asia
维基百科	Wikipedia
尼德兰	Netherlands
PHP	PHP
纽约市	New York City
旧金山	San Francisco
洛杉矶	Los Angeles
计算机	Computer
办合纳	Bern
极乃伐	Geneva
苏黎世	Zürich
巴拉克·奥巴马	Barack Obama
乌拉圭	Uruguay
白才尔	Basel
打印机	Printer (computing)
伦敦	London
开罗	Cairo
苹果	Apple
墨西哥	Mexico
大西洋	Atlantic Ocean
太平洋	Pacific Ocean
加利福尼亚	California
波士顿	Boston
礼拜一	Monday
火星	Mars
肯尼亚	Kenya
礼拜两	Tuesday
礼拜三	Wednesday
礼拜四	Thursday
礼拜五	Friday
礼拜六	Saturday
礼拜天	Sunday
法国	France
世界语	Esperanto
狗	Dog
英国	United Kingdom
貓	Cat
中华人民共和国	China
法文	French language
鱼	Fish
巴西	Brazil
俄罗斯	Russia
大海	Sea
圓周率	Pi
Π	Pi (letter)
聖保羅	São Paulo
该办克	Quebec
德国	Germany
白俄罗斯	Belarus
德语	German language
冰岛	Iceland
愛沙尼亞	Estonia
土星	Saturn
巧克力	Chocolate
飞机	Airplane
打仗	War
拉脱维亚	Latvia
乌克兰	Ukraine
捷克	Czech Republic
斯洛伐克	Slovakia
斯洛文尼亚	Slovenia
摩尔多瓦	Moldova
罗马尼亚	Romania
保加利亚	Bulgaria
罗马	Rome
马其顿	Republic of Macedonia
阿爾巴尼亞	Albania
格陵兰	Greenland
克罗地亚	Croatia
波黑	Bosnia and Herzegovina
阿塞拜疆	Azerbaijan
安道尔	Andorra
塞浦路斯	Cyprus
格鲁吉亚	Georgia (country)
哈萨克斯坦	Kazakhstan
马耳他	Malta
摩纳哥	Monaco
黑山共和国	Montenegro
梵蒂冈	Vatican City
圣马力诺	San Marino
布鲁塞尔	City of Brussels
古巴	Cuba
大众汽车	Volkswagen
Java	Java (programming language)
印度尼西亚	Indonesia
南非	South Africa
阿尔及利亚	Algeria
乌兹别克斯坦	Uzbekistan
欧罗维竞唱歌比赛	Eurovision Song Contest
水	Water
木	Wood
电视机	Television
冰岛文	Icelandic language
智利	Chile
耶稣	Jesus
語言	Language
英语维基百科	English Wikipedia
尼古拉·萨科齐	Nicolas Sarkozy
新加坡	Singapore
科学	Science
自由軟件	Free software
列支敦士登	Liechtenstein
希特拉	Adolf Hitler
WikiLeaks	WikiLeaks
第二次世界大战	World War II
科隆	Cologne
Linux	Linux
数学	Mathematics
拉丁文	Latin
巴林	Bahrain
亚美尼亚	Armenia
塞尔维亚	Serbia
月球	Moon
澳大利亚	Australia
物理学	Physics
阿根廷	Argentina
秘鲁	Peru
朝鲜民主主义人民共和国	North Korea
柬埔寨	Cambodia
恐龙	Dinosaur
回教	Islam
里昂	Lyon
欧洲联盟	European Union
女性	Woman
诗	Poetry
米蘭	Milan
屁眼	Anus
古高尔	Googol
珠穆朗玛峰	Mount Everest
城市	City
巴斯德	Louis Pasteur
村	Village
大洋洲	Oceania
太阳系	Solar System
氢	Hydrogen
维基共享	Wikimedia Commons
揚聲器	Loudspeaker
东帝汶	East Timor
维嘞合朋纳	Villeurbanne
学纳河	Rhône
迪拜	Dubai
瀑瑶兰葡萄酒	Beaujolais
哥白尼	Nicolaus Copernicus
碳	Carbon
音乐	Music
圣皮得斯堡	Saint Petersburg
北	North
新西兰	New Zealand
南	South
印度	India
西	West
氯气	Chlorine
铅	Lead
蒙古国	Mongolia
委内瑞拉	Venezuela
国际象棋	Chess
缅因	Maine
苏里南	Suriname
巴拉圭	Paraguay
圭亚那	Guyana
艺术	Art
厄瓜多尔	Ecuador
哥伦比亚	Colombia
佛教	Buddhism
玻利维亚	Bolivia
特里尼达搭仔多巴哥	Trinidad and Tobago
新罕布什爾	New Hampshire
马萨诸塞	Massachusetts
康涅狄格	Connecticut
鸡	Chicken
澤西島	Jersey
猪猡	Domestic pig
伊朗	Iran
伊拉克	Iraq
阿拉斯加	Alaska
以色列	Israel
巴拿马	Panama
也門	Yemen
约旦	Jordan
佛罗里达州	Florida
吉尔吉斯斯坦	Kyrgyzstan
科威特	Kuwait
老挝	Laos
黎巴嫩	Lebanon
俄勒冈	Oregon
马尔代芙	Maldives
马来西亚	Malaysia
缅甸	Burma
尼泊尔	Nepal
阿曼	Oman
巴基斯坦	Pakistan
卡塔尔	Qatar
沙特阿拉伯	Saudi Arabia
斯里兰卡	Sri Lanka
史太林	Joseph Stalin
叙利亚	Syria
塔吉克斯坦	Tajikistan
口袋妖怪	Pokémon
中华民国	Taiwan
泰国	Thailand
火车	Train
土库曼斯坦	Turkmenistan
阿拉伯联合酋长国	United Arab Emirates
越南	Vietnam
新西伯利亚	Novosibirsk
大韩民国	South Korea
阿富汗	Afghanistan
金	Gold
喀山	Kazan
孟加拉	Bangladesh
马里	Mali
安哥拉	Angola
不丹	Bhutan
文莱	Brunei
菲律宾	Philippines
牛顿	Isaac Newton
OpenStreetMap	OpenStreetMap
量子力学	Quantum mechanics
突尼斯	Tunisia
赞比亚	Zambia
津巴布韦	Zimbabwe
北京	Beijing
贝宁	Benin
博茨瓦纳	Botswana
布隆迪	Burundi
刚果共和国	Republic of the Congo
刚果民主共和国	Democratic Republic of the Congo
甘地	Mahatma Gandhi
连环画	Comics
冈比亚	The Gambia
科特迪瓦	Ivory Coast
喀麦隆	Cameroon
尼日利亚	Nigeria
索马里	Somalia
铌	Niobium
凱撒	Julius Caesar
苏丹	Sudan
汉堡	Hamburg
联合国	United Nations
唐担	Dante Alighieri
艾哈迈德堡	Ahmedabad
锡	Tin
克林顿总统	Bill Clinton
孟买	Mumbai
波多黎各	Puerto Rico
卡纳塔克邦	Karnataka
列农	John Lennon
爱达荷州	Idaho
华盛顿州	Washington (state)
科索沃	Kosovo
潘基文	Ban Ki-moon
Kofi Annan	Kofi Annan
分类:页面分类	Category:Contents
多特蒙德	Dortmund
冬天	Winter
西班牙语	Spanish language
匹兹堡	Pittsburgh
费城	Philadelphia
金奈	Chennai
班加罗尔	Bangalore
钞票	Money
纽约州	New York
罗德岛	Rhode Island
昆虫	Insect
宾夕法尼亚	Pennsylvania
Uetersen	Uetersen
奧古斯都	Augustus
