संयुक्त राज्य अमेरिका	United States
वासिंगटन डि सि	Washington, D.C.
क्यालिफोर्निया	California
बोस्टन	Boston
अलाबामा	Alabama
दूरदर्शन यन्त्र	Television
चिले	Chile
एल्भिस प्रेस्ली	Elvis Presley
गणितं	Mathematics
लेक वालेसा	Lech Wałęsa
६६६	666
आकासो	Sky
पोत्थकं	Book
भारत	India
मेइन	Maine
Ariyasaccāni	Animal
न्हु ह्याम्प्शायर	New Hampshire
म्यासेच्युसेट्स	Massachusetts
कनेक्टिकट	Connecticut
हवाई	Hawaii
अलास्का	Alaska
फ्लोरिडा	Florida
अराइजोना	Arizona
ओरेगन	Oregon
उटाह	Utah
नेपाल	Nepal
द सिम्प्सनस्	The Simpsons
बंगलादेश	Bangladesh
असमरज्जं	Assam
मिसिगन	Michigan
छत्तीसगढ़	Chhattisgarh
इलिनोइ	Illinois
उत्तर डेकोटा	North Dakota
दक्षिण ड्याकोटा	South Dakota
मोन्टाना	Montana
वायोमिंग	Wyoming
आइडाहो	Idaho
वासिंगटन	Washington (state)
नेभेदा	Nevada
कोलोर्याडो	Colorado
भर्जिनिया	Virginia
पश्चिम भर्जिनिया	West Virginia
न्हु यर्क	New York
रोड टापू	Rhode Island
मेरील्यान्ड	Maryland
डेलावेर	Delaware
ओहायो	Ohio
पेन्सिल्भेनिया	Pennsylvania
न्हु जर्सी	New Jersey
इन्डियाना	Indiana
ज्योर्जिया	Georgia (U.S. state)
टेक्सास	Texas
उत्तर क्यारोलिना	North Carolina
दक्षिण क्यारोलिना	South Carolina
मिसिसिप्पी	Mississippi
टेनिसी	Tennessee
न्हु मेक्सिको	New Mexico
मिनेसोटा	Minnesota
विन्कोसिन	Wisconsin
आयोवा	Iowa
नेब्रास्का	Nebraska
कान्सास्	Kansas
मिसौरी	Missouri
लुइजियाना	Louisiana
केन्चकी	Kentucky
आर्कान्स:	Arkansas
उर्दू भाषा	Urdu
ओक्लाहोमा	Oklahoma
आंगलभाषा	English language
२०००	2000
२००३	2003
२००२	2002
२००१	2001
२०१२	2012
२०११	2011
२०१०	2010
२००९	2009
२०१३	2013
२०१४	2014
२०१५	2015
२००८	2008
२००४	2004
२००५	2005
२००६	2006
२००७	2007
१९००	1900
१९०१	1901
१९०२	1902
१९०३	1903
१९०४	1904
१९०५	1905
१९०७	1907
१९०६	1906
१९०८	1908
१९०९	1909
१९९२	1992
१९९१	1991
१९९०	1990
१९९३	1993
१९९४	1994
१९९५	1995
१९९६	1996
१९१०	1910
१९११	1911
१९१२	1912
१९१३	1913
