Afrihkká	Africa
Saturn	Saturn
Agálašvuohta	Infinity
George W. Bush	George W. Bush
Rektáŋgel	Rectangle
Látvia	Latvia
Ukraina	Ukraine
Čeahkka	Czech Republic
Slovakia	Slovakia
Slovenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Románia	Romania
Bulgária	Bulgaria
Roma	Rome
Makedonia	Republic of Macedonia
Albánia	Albania
Kalaallit Nunaat	Greenland
Kroatia	Croatia
Bosnia ja Hercegovina	Bosnia and Herzegovina
Nuuk	Nuuk
Aserbaižan	Azerbaijan
Andorra	Andorra
Kypros	Cyprus
Georgia	Georgia (country)
Kasakstan	Kazakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatikána	Vatican City
San Marino	San Marino
Bryssel	Brussels
Cuba	Cuba
Belize	Belize
Eiffel-toardna	Eiffel Tower
Barbados	Barbados
Boallobeavdi	Computer keyboard
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Durkkagiella	Turkish language
Lulli-Afrihkká	South Africa
Algeria	Algeria
Usbekistan	Uzbekistan
Čurolastašattut	Drosera
Warszawa	Warsaw
Eurovision lávllagilvvohallan	Eurovision Song Contest
Čáhci	Water
Islánddagiella	Icelandic language
Chile	Chile
Jesus	Jesus
Merkur	Mercury (planet)
Apple Inc.	Apple Inc.
Venus	Venus
Giella	Language
Jupiter	Jupiter
Álgobávkkeheapmi	Big Bang
Uranus	Uranus
Bretagne	Brittany
Neptun	Neptune
Singapore	Singapore
Liechtenstein	Liechtenstein
Nubbi máilmmisoahti	World War II
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Láhtengiella	Latin
Bahrain	Bahrain
Armenia	Armenia
Higgsa boson	Higgs boson
Serbia	Serbia
Mánnu	Moon
Istanbul	Istanbul
Australia	Australia
Argentiinná	Argentina
Peru	Peru
Davvi-Korea	North Korea
Cambodja	Cambodia
Isláma	Islam
Pearamuorat	Pear
Ljubljana	Ljubljana
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	European Union
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
666	666
Mount Everest	Mount Everest
Beaivváš	Sun
Oseania	Oceania
Beaivvášgoddi	Solar System
Angela Merkel	Angela Merkel
Jándor	Day
Nuorta-Timor	East Timor
Jahki	Year
Jahkečuohti	Century
Oslo	Oslo
Katowice	Katowice
Lisboa	Lisbon
Dubai	Dubai
Planehta	Planet
Moskva	Moscow
Itáliagiella	Italian language
Chad	Chad
Ođđa-Selánda	New Zealand
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Salomonsullot	Solomon Islands
Vanuatu	Vanuatu
Papua-Ođđa-Guinea	Papua New Guinea
William Shakespeare	William Shakespeare
Palau	Palau
Nauru	Nauru
Mikronesia	Federated States of Micronesia
Marshallsullot	Marshall Islands
Kiribati	Kiribati
Mongolia	Mongolia
Fiži	Fiji
Venezuela	Venezuela
Šáhkka	Chess
Maine	Maine
Heabuš	Horse
Amsterdam	Amsterdam
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Kolombia	Colombia
Eanamuorjjit	Fragaria
Buddhisma	Buddhism
Bolivia	Bolivia
New Hampshire	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	Saint Kitts and Nevis
Guobbarat	Fungus
Jamaica	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahama	The Bahamas
Connecticut	Connecticut
Antigua ja Barbuda	Antigua and Barbuda
Haváija	Hawaii
Honduras	Honduras
Dominica	Dominica
Dominikána dásseváldi	Dominican Republic
Haiti	Haiti
El Salvador	El Salvador
Iran	Iran
Irak	Iraq
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Jemen	Yemen
Polskkagiella	Polish language
Jordánia	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kirgisistan	Kyrgyzstan
Arizona	Arizona
Kuwait	Kuwait
Laos	Laos
Libanon	Lebanon
Oregon	Oregon
Ipmil (risttalašvuohta)	God in Christianity
Malediivvat	Maldives
Utah	Utah
Malaysia	Malaysia
Valais (kantona)	Valais
Myanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi-Arábia	Saudi Arabia
Sri Lanka	Sri Lanka
Syria	Syria
Platon	Plato
Tažikistan	Tajikistan
Taiwan	Taiwan
YouTube	YouTube
Aristoteles	Aristotle
Thaieana	Thailand
Turkmenistan	Turkmenistan
Ovttastuvvan arábaemiráhtat	United Arab Emirates
Vietnam	Vietnam
Lulli-Korea	South Korea
Afganistan	Afghanistan
Nižni Novgorod	Nizhny Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Golli	Gold
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Bhutan
Brunei	Brunei
Tanzánia	Tanzania
Filippiinnat	Philippines
Gaska-Afrihká dásseváldi	Central African Republic
Davvipola	North Pole
Albert Einstein	Albert Einstein
Togo	Togo
Tunisia	Tunisia
Zámbia	Zambia
Zimbabwe	Zimbabwe
Peking	Beijing
Lulli-Sudan	South Sudan
Tuva	Tuva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komorat	Comoros
Kongo dásseváldi	Republic of the Congo
Kongo demokráhtalaš dásseváldi	Democratic Republic of the Congo
Djibouti	Djibouti
Bayern	Bavaria
Beaivvedási Guinea	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
New Delhi	New Delhi
Tbilisi	Tbilisi
Gabon	Gabon
Gambia	The Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Elefántačalánriddu	Ivory Coast
Kamerun	Cameroon
Kap Verde	Cape Verde
Lesotho	Lesotho
Liberia	Liberia
Libya	Libya
Madagaskar	Madagascar
Malawi	Malawi
Mauritánia	Mauritania
Mauritius	Mauritius
Marokko	Morocco
Mosambik	Mozambique
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Uganda	Uganda
Rwanda	Rwanda
São Tomé ja Príncipe	São Tomé and Príncipe
Senegal	Senegal
Seychellsullot	Seychelles
Sierra Leone	Sierra Leone
Somália	Somalia
Sudan	Sudan
Svazieana	Swaziland
Hamborg	Hamburg
Ovttastuvvan našuvnnat	United Nations
Praha	Prague
Bill Clinton	Bill Clinton
Lothringen	Lorraine (region)
Auvergne	Auvergne (region)
Michigan	Michigan
Goa	Goa
Burgundi	Burgundy
Akvitania	Aquitaine
Limousin	Limousin
Slesvig-Holsten	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Lower Saxony
Nordrhein-Westfalen	North Rhine-Westphalia
Hessen	Hesse
Rheinland-Pfalz	Rhineland-Palatinate
Saarland	Saarland
Sachsen	Saxony
Illinois	Illinois
Thüringen	Thuringia
Sachsen-Anhalt	Saxony-Anhalt
Davvi-Dakota	North Dakota
Brandenburg	Brandenburg
Bremen	Bremen (state)
Lombardia	Lombardy
Lulli-Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piedmont
Idaho	Idaho
Valle d'Aosta	Aosta Valley
Washington (oassestáhta)	Washington (state)
Nevada	Nevada
Trentino-Alto Adige	Trentino-Alto Adige/Südtirol
Veneto	Veneto
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
Toscana	Tuscany
Marche	Marche
Umbria	Umbria
Kategoriija:Váldokategoriijat	Category:Contents
Latium	Lazio
Abruzzo	Abruzzo
Chicago	Chicago
Spánskagiella	Spanish language
Montevideo	Montevideo
Delhi	Delhi
Heavdni	Spider
Islamabad	Islamabad
Šattus	Fruit
Áhppa	Monkey
Virginia	Virginia
Oarje-Virginia	West Virginia
New York (oassestáhta)	New York
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Suomagiella	Finnish language
Indiana	Indiana
Georgia (oassestáhta)	Georgia (U.S. state)
KDE	KDE
Zagreb	Zagreb
Campania	Campania
Texas	Texas
Molise	Molise
Puglia	Apulia
Basilicata	Basilicata
Davvi-Carolina	North Carolina
Lulli-Carolina	South Carolina
Calabria	Calabria
Sicilia	Sicily
Sardinia	Sardinia
Meksiko gávpot	Mexico City
Tokyo	Tokyo
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
New Mexico	New Mexico
Athena	Athens
Minnesota	Minnesota
UTC	Coordinated Universal Time
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Ciudad de Guatemala	Guatemala City
Kansas	Kansas
Hindigiella	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Urdugiella	Urdu
Oklahoma	Oklahoma
Moskva oblast	Moscow Oblast
München	Munich
Samara oblast	Samara Oblast
Wien	Vienna
Københápman	Copenhagen
Kaliningrad oblast	Kaliningrad Oblast
Stockholbma	Stockholm
Helsset	Helsinki
Murmansk oblast	Murmansk Oblast
Dublin	Dublin
Murmánska	Murmansk
Reykjavík	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt
Kárášjohka	Karasjok
Luxemburg (gávpot)	Luxembourg (city)
Vaduz	Vaduz
Biibbal	Bible
Hồ Chí Minh gávpot	Ho Chi Minh City
Hanoi	Hanoi
Duođalaš Jesusa Girku	True Jesus Church
Eaŋgalsgiella	English language
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Arkhangelsk oblast	Arkhangelsk Oblast
Đồng Hới	Đồng Hới
Concepción, Chile	Concepción, Chile
Fyresdal	Fyresdal
Kiova	Kiev
Gárjila dásseváldi	Republic of Karelia
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
2013	2013
2014	2014
2015	2015
2008	2008
2004	2004
Vologda oblast	Vologda Oblast
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Komi dásseváldi	Komi Republic
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Biebmu	Food
Gearpmašat	Snake
Ođđajagimánu 1.	January 1
Ođđajagimánu 2.	January 2
1920	1920
Ođđajagimánu 3.	January 3
1919	1919
1921	1921
Njenec Iehčanas Guovlu	Nenets Autonomous Okrug
1922	1922
Lund (Rogalánda)	Lund
Ođđajagimánu 4.	January 4
1923	1923
1924	1924
Leningrad oblast	Leningrad Oblast
Ođđajagimánu 5.	January 5
Malmö	Malmö
Pskov oblast	Pskov Oblast
Ođđajagimánu 6.	January 6
Ođđajagimánu 7.	January 7
Nissedal	Nissedal
Kviteseid	Kviteseid
Ođđajagimánu 8.	January 8
Seljord	Seljord
Ođđajagimánu 9.	January 9
Novgorod oblast	Novgorod Oblast
Tokke	Tokke
Ođđajagimánu 10.	January 10
Vinje	Vinje
Nizjnij Novgorod oblast	Nizhny Novgorod Oblast
Ođđajagimánu 11.	January 11
Ođđajagimánu 12.	January 12
Telemárkku fylka	Telemark
Ođđajagimánu 13.	January 13
Ođđajagimánu 14.	January 14
Ođđajagimánu 15.	January 15
Ođđajagimánu 16.	January 16
Ođđajagimánu 17.	January 17
Ođđajagimánu 18.	January 18
Ođđajagimánu 19.	January 19
Ođđajagimánu 20.	January 20
Skien	Skien
Ođđajagimánu 21.	January 21
Ođđajagimánu 22.	January 22
Ođđajagimánu 23.	January 23
Ođđajagimánu 24.	January 24
Ođđajagimánu 25.	January 25
Minsk	Minsk
Ođđajagimánu 26.	January 26
Ođđajagimánu 27.	January 27
Ođđajagimánu 28.	January 28
Ođđajagimánu 29.	January 29
Ođđajagimánu 30.	January 30
Ođđajagimánu 31.	January 31
Porsgrunn	Porsgrunn
Tver oblast	Tver Oblast
Juovlamánu 2.	December 2
Juovlamánu 1.	December 1
Juovlamánu 3.	December 3
Juovlamánu 7.	December 7
Juovlamánu 5.	December 5
Juovlamánu 8.	December 8
Juovlamánu 10.	December 10
Juovlamánu 6.	December 6
Juovlamánu 9.	December 9
Siljan	Siljan, Norway
Juovlamánu 4.	December 4
Guovvamánu 1.	February 1
Guovvamánu 2.	February 2
Guovvamánu 3.	February 3
Kurów	Kurów
Guovvamánu 4.	February 4
Guovvamánu 5.	February 5
Guovvamánu 6.	February 6
Guovvamánu 7.	February 7
Guovvamánu 8.	February 8
Guovvamánu 9.	February 9
Guovvamánu 10.	February 10
Notodden	Notodden
Guovvamánu 14.	February 14
Guovvamánu 13.	February 13
Guovvamánu 15.	February 15
Guovvamánu 11.	February 11
Guovvamánu 12.	February 12
Guovvamánu 19.	February 19
Guovvamánu 17.	February 17
Guovvamánu 16.	February 16
Guovvamánu 18.	February 18
Guovvamánu 20.	February 20
Smolensk oblast	Smolensk Oblast
Guovvamánu 21.	February 21
Guovvamánu 22.	February 22
Guovvamánu 23.	February 23
Hjartdal	Hjartdal
Guovvamánu 24.	February 24
Guovvamánu 25.	February 25
Guovvamánu 26.	February 26
Guovvamánu 27.	February 27
Guovvamánu 28.	February 28
Juovlamánu 11.	December 11
Guovvamánu 29.	February 29
Drangedal	Drangedal
Juovlamánu 12.	December 12
Kragerø	Kragerø
Nome	Nome, Norway
Juovlamánu 13.	December 13
Sauherad	Sauherad
Juovlamánu 14.	December 14
Juovlamánu 15.	December 15
Njukčamánu 2.	March 2
Njukčamánu 3.	March 3
Njukčamánu 5.	March 5
Njukčamánu 1.	March 1
Njukčamánu 7.	March 7
Njukčamánu 8.	March 8
Njukčamánu 4.	March 4
Njukčamánu 10.	March 10
Njukčamánu 11.	March 11
Njukčamánu 6.	March 6
Njukčamánu 13.	March 13
Njukčamánu 9.	March 9
Njukčamánu 12.	March 12
Njukčamánu 15.	March 15
Njukčamánu 14.	March 14
Juovlamánu 16.	December 16
Juovlamánu 17.	December 17
Kristiansand	Kristiansand
Njukčamánu 16.	March 16
Njukčamánu 17.	March 17
Njukčamánu 18.	March 18
Njukčamánu 19.	March 19
1989	1989
1988	1988
Njukčamánu 20.	March 20
1987	1987
1986	1986
1985	1985
1984	1984
Njukčamánu 21.	March 21
1983	1983
Njukčamánu 22.	March 22
1982	1982
1981	1981
Juovlamánu 18.	December 18
1980	1980
Njukčamánu 23.	March 23
Jaroslavl oblast	Yaroslavl Oblast
Juovlamánu 19.	December 19
Njukčamánu 24.	March 24
Njukčamánu 25.	March 25
Juovlamánu 20.	December 20
Njukčamánu 26.	March 26
Njukčamánu 27.	March 27
Njukčamánu 28.	March 28
Njukčamánu 29.	March 29
Njukčamánu 30.	March 30
Njukčamánu 31.	March 31
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cuoŋománu 15.	April 15
Cuoŋománu 13.	April 13
Cuoŋománu 12.	April 12
Cuoŋománu 14.	April 14
Cuoŋománu 11.	April 11
Cuoŋománu 10.	April 10
Cuoŋománu 8.	April 8
Cuoŋománu 9.	April 9
Cuoŋománu 7.	April 7
Cuoŋománu 6.	April 6
Cuoŋománu 5.	April 5
Cuoŋománu 4.	April 4
Cuoŋománu 3.	April 3
Cuoŋománu 1.	April 1
Cuoŋománu 2.	April 2
Cuoŋománu 16.	April 16
Cuoŋománu 17.	April 17
Cuoŋománu 18.	April 18
Cuoŋománu 19.	April 19
Cuoŋománu 20.	April 20
Cuoŋománu 21.	April 21
Cuoŋománu 22.	April 22
Cuoŋománu 23.	April 23
Cuoŋománu 24.	April 24
Cuoŋománu 25.	April 25
Cuoŋománu 26.	April 26
Cuoŋománu 27.	April 27
Cuoŋománu 28.	April 28
Cuoŋománu 29.	April 29
Cuoŋománu 30.	April 30
Miessemánu 1.	May 1
Miessemánu 2.	May 2
Miessemánu 3.	May 3
Miessemánu 4.	May 4
Miessemánu 5.	May 5
Miessemánu 6.	May 6
Miessemánu 7.	May 7
Miessemánu 8.	May 8
Miessemánu 9.	May 9
Miessemánu 10.	May 10
Miessemánu 11.	May 11
Miessemánu 12.	May 12
Miessemánu 13.	May 13
Miessemánu 14.	May 14
Miessemánu 15.	May 15
Miessemánu 16.	May 16
Miessemánu 17.	May 17
Miessemánu 18.	May 18
Miessemánu 19.	May 19
Miessemánu 20.	May 20
Miessemánu 21.	May 21
Miessemánu 22.	May 22
Miessemánu 23.	May 23
Miessemánu 24.	May 24
Miessemánu 25.	May 25
Miessemánu 26.	May 26
Miessemánu 27.	May 27
Miessemánu 28.	May 28
Miessemánu 29.	May 29
Miessemánu 30.	May 30
Miessemánu 31.	May 31
Kostroma oblast	Kostroma Oblast
Juovlamánu 21.	December 21
Geassemánu 14.	June 14
Geassemánu 15.	June 15
Geassemánu 13.	June 13
Geassemánu 10.	June 10
Geassemánu 7.	June 7
Geassemánu 11.	June 11
Geassemánu 9.	June 9
Geassemánu 12.	June 12
Geassemánu 6.	June 6
Geassemánu 8.	June 8
Geassemánu 5.	June 5
Geassemánu 3.	June 3
Geassemánu 2.	June 2
Geassemánu 1.	June 1
Geassemánu 4.	June 4
Juovlamánu 22.	December 22
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Geassemánu 16.	June 16
Ivanovo oblast	Ivanovo Oblast
Geassemánu 30.	June 30
Geassemánu 29.	June 29
Geassemánu 28.	June 28
Geassemánu 26.	June 26
Geassemánu 25.	June 25
Geassemánu 22.	June 22
Geassemánu 27.	June 27
Geassemánu 24.	June 24
Geassemánu 20.	June 20
Geassemánu 23.	June 23
Geassemánu 19.	June 19
Geassemánu 18.	June 18
Geassemánu 21.	June 21
Geassemánu 17.	June 17
Juovlamánu 23.	December 23
Suoidnemánu 15.	July 15
Suoidnemánu 13.	July 13
Suoidnemánu 12.	July 12
Suoidnemánu 10.	July 10
Suoidnemánu 9.	July 9
Suoidnemánu 14.	July 14
Suoidnemánu 8.	July 8
Suoidnemánu 7.	July 7
Suoidnemánu 6.	July 6
Suoidnemánu 5.	July 5
Suoidnemánu 2.	July 2
Suoidnemánu 4.	July 4
Suoidnemánu 3.	July 3
Suoidnemánu 1.	July 1
Suoidnemánu 11.	July 11
Vladimir oblast	Vladimir Oblast
Juovlamánu 24.	December 24
Suoidnemánu 31.	July 31
Suoidnemánu 30.	July 30
Suoidnemánu 29.	July 29
Suoidnemánu 28.	July 28
Suoidnemánu 27.	July 27
Suoidnemánu 25.	July 25
Suoidnemánu 24.	July 24
Suoidnemánu 23.	July 23
Suoidnemánu 26.	July 26
Suoidnemánu 22.	July 22
Suoidnemánu 19.	July 19
Suoidnemánu 21.	July 21
Suoidnemánu 20.	July 20
Suoidnemánu 17.	July 17
Suoidnemánu 18.	July 18
Suoidnemánu 16.	July 16
Spábbačiekčan	Association football
Juovlamánu 25.	December 25
Rjazan oblast	Ryazan Oblast
1963	1963
Lech Kaczyński	Lech Kaczyński
Juovlamánu 26.	December 26
1962	1962
Borgemánu 14.	August 14
Borgemánu 15.	August 15
Borgemánu 13.	August 13
Borgemánu 12.	August 12
Borgemánu 11.	August 11
Borgemánu 10.	August 10
Borgemánu 8.	August 8
Borgemánu 7.	August 7
Borgemánu 9.	August 9
Borgemánu 5.	August 5
Borgemánu 4.	August 4
Borgemánu 2.	August 2
Borgemánu 3.	August 3
Borgemánu 6.	August 6
Borgemánu 1.	August 1
Tula oblast	Tula Oblast
Juovlamánu 27.	December 27
Madrid	Madrid
Brjansk oblast	Bryansk Oblast
Borgemánu 16.	August 16
Coca-Cola	Coca-Cola
Borgemánu 29.	August 29
Borgemánu 28.	August 28
Borgemánu 30.	August 30
Borgemánu 25.	August 25
Borgemánu 26.	August 26
Borgemánu 23.	August 23
Borgemánu 27.	August 27
Borgemánu 21.	August 21
Borgemánu 20.	August 20
Borgemánu 24.	August 24
Borgemánu 18.	August 18
Borgemánu 17.	August 17
Borgemánu 22.	August 22
Borgemánu 19.	August 19
Borgemánu 31.	August 31
Michael Jackson	Michael Jackson
Juovlamánu 28.	December 28
Kaluga oblast	Kaluga Oblast
Čakčamánu 15.	September 15
Čakčamánu 14.	September 14
Čakčamánu 13.	September 13
Čakčamánu 12.	September 12
Čakčamánu 8.	September 8
Čakčamánu 11.	September 11
Čakčamánu 7.	September 7
Čakčamánu 10.	September 10
Čakčamánu 5.	September 5
Čakčamánu 4.	September 4
Čakčamánu 9.	September 9
Čakčamánu 2.	September 2
Čakčamánu 6.	September 6
Čakčamánu 1.	September 1
Čakčamánu 3.	September 3
Juovlamánu 29.	December 29
Alexander Lukašenka	Alexander Lukashenko
Čakčamánu 30.	September 30
Čakčamánu 29.	September 29
Čakčamánu 28.	September 28
Čakčamánu 27.	September 27
Čakčamánu 26.	September 26
Čakčamánu 25.	September 25
Čakčamánu 23.	September 23
Čakčamánu 22.	September 22
Čakčamánu 24.	September 24
Čakčamánu 21.	September 21
Čakčamánu 20.	September 20
Čakčamánu 18.	September 18
Čakčamánu 17.	September 17
Čakčamánu 19.	September 19
Čakčamánu 16.	September 16
Quito	Quito
Juovlamánu 30.	December 30
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Juovlamánu 31.	December 31
Golggotmánu 1.	October 1
Golggotmánu 15.	October 15
Golggotmánu 12.	October 12
Golggotmánu 10.	October 10
Golggotmánu 14.	October 14
Golggotmánu 9.	October 9
Golggotmánu 8.	October 8
Golggotmánu 13.	October 13
Golggotmánu 7.	October 7
Golggotmánu 11.	October 11
Golggotmánu 6.	October 6
Golggotmánu 4.	October 4
Golggotmánu 5.	October 5
Golggotmánu 3.	October 3
Golggotmánu 2.	October 2
Golggotmánu 31.	October 31
Golggotmánu 30.	October 30
Golggotmánu 29.	October 29
Golggotmánu 28.	October 28
Golggotmánu 26.	October 26
Golggotmánu 25.	October 25
Golggotmánu 24.	October 24
Golggotmánu 27.	October 27
Golggotmánu 22.	October 22
Golggotmánu 23.	October 23
Golggotmánu 20.	October 20
Golggotmánu 21.	October 21
Golggotmánu 19.	October 19
Golggotmánu 17.	October 17
Golggotmánu 16.	October 16
Golggotmánu 18.	October 18
Skábmamánu 15.	November 15
Skábmamánu 14.	November 14
Skábmamánu 13.	November 13
Skábmamánu 12.	November 12
Skábmamánu 11.	November 11
Skábmamánu 10.	November 10
Skábmamánu 7.	November 7
Skábmamánu 8.	November 8
Skábmamánu 9.	November 9
Skábmamánu 6.	November 6
Skábmamánu 5.	November 5
Skábmamánu 4.	November 4
Skábmamánu 3.	November 3
Skábmamánu 2.	November 2
Skábmamánu 1.	November 1
Skábmamánu 30.	November 30
Skábmamánu 29.	November 29
Skábmamánu 28.	November 28
Skábmamánu 27.	November 27
Skábmamánu 26.	November 26
Skábmamánu 25.	November 25
Skábmamánu 23.	November 23
Skábmamánu 24.	November 24
Skábmamánu 21.	November 21
Skábmamánu 20.	November 20
Skábmamánu 22.	November 22
Skábmamánu 19.	November 19
Skábmamánu 18.	November 18
Skábmamánu 17.	November 17
Skábmamánu 16.	November 16
Kathmandu	Kathmandu
Belmopan	Belmopan
Loire-Atlantique	Loire-Atlantique
San José	San José, Costa Rica
Ain	Ain
Aisne	Aisne
Vosges	Vosges (department)
Allier (departemeanta)	Allier
Hautes-Alpes	Hautes-Alpes
Orjol oblast	Oryol Oblast
Sydney	Sydney
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Ardèche	Ardèche
Ardennes	Ardennes (department)
Kursk oblast	Kursk Oblast
Ariège	Ariège (department)
Aube	Aube
Aude	Aude
Aveyron	Aveyron
Bouches-du-Rhône	Bouches-du-Rhône
Charente	Charente
Managua	Managua
Charente-Maritime	Charente-Maritime
Panama gávpot	Panama City
Corrèze	Corrèze
Belgorod oblast	Belgorod Oblast
Haute-Corse	Haute-Corse
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Côtes-d'Armor	Côtes-d'Armor
Creuse	Creuse
Dordogne	Dordogne
Doubs	Doubs
Drôme	Drôme
Essonne	Essonne
Eure	Eure
Eure-et-Loir	Eure-et-Loir
Finistère	Finistère
Voronezj oblast	Voronezh Oblast
Lipetsk oblast	Lipetsk Oblast
Tambov oblast	Tambov Oblast
Rostov oblast	Rostov Oblast
Teheran	Tehran
Ankara	Ankara
Niamey	Niamey
1961	1961
Belgrad	Belgrade
Adygeia	Adygea
Kategoriija:Mállet	Category:Wikipedia templates
1960	1960
Frankriikka Guayana	French Guiana
Volgograd oblast	Volgograd Oblast
Nikosia	Nicosia
Nairobi	Nairobi
Beaivvášsevnnjodeapmi	Solar eclipse
Mbabane	Mbabane
Maseru	Maseru
Skuvla	School
Asturia eanangoddi	Asturias
Astrakhan oblast	Astrakhan Oblast
Kantabria eanangoddi	Cantabria
Kalmukia	Kalmykia
Navarra eanangoddi	Navarre
Osasco	Osasco
Eschweiler	Eschweiler
Đồng Hới girdišillju	Dong Hoi Airport
Gomuvuohta	Outer space
Curitiba	Curitiba
Kategoriija:1888	Category:1888
Kategoriija:Amsterdam	Category:Amsterdam
Mitt Romney	Mitt Romney
Corbin Bleu	Corbin Bleu
Kategoriija:Matematihkka	Category:Mathematics
Aymaragiella	Aymara language
Fearsullot	Faroe Islands
Moncef Marzouki	Moncef Marzouki
Kategoriija:Riegádeamit 1888	Category:1888 births
1488	1488
Euro	Euro
USA dollár	United States dollar
Risttalašvuohta	Christianity
1004	1004
