Aprika	Africa
Siapan	Japan
Saut Amerika	South America
Nowe	Norway
Inglan	England
Skotlan	Scotland
Wels	Wales
Noten Aialan	Northern Ireland
Ripablik bilong Aialan	Republic of Ireland
Hangari	Hungary
Spen	Spain
Ol Yunaitet Stet	United States
Beljiam	Belgium
Giraun	Earth
Pinlan	Finland
Suwidan	Sweden
Denmak	Denmark
Polan	Poland
Lituwenia	Lithuania
Itali	Italy
Suwisalan	Switzerland
Ostria	Austria
Gris	Greece
Teki	Turkey
Posugol	Portugal
Yurop	Europe
Esia	Asia
Not Amerika	North America
Wikipedia	Wikipedia
Ol Nitelan	Netherlands
Niu Yok Siti	New York City
Wasington DC	Washington, D.C.
Berlin	Berlin
Berne	Bern
Intanet	Internet
Barack Obama	Barack Obama
Landen	London
Kairo	Cairo
Paris	Paris
Meksiko	Mexico
Solwara Atlantik	Atlantic Ocean
Solwara Pasifik	Pacific Ocean
Mande	Monday
Janueri	January
Februeri	February
Mas	March
Epril	April
Me	May
Jun	June
Julai	July
Ogas	August
Septemba	September
Oktoba	October
Novemba	November
Disemba	December
Tunde	Tuesday
Trinde	Wednesday
Fonde	Thursday
Fraide	Friday
Sarere	Saturday
Sande	Sunday
Frens	France
Esperanto	Esperanto
Yunaitet Kingdom	United Kingdom
Ol Manmeri Ripablik bilong Saina	China
Tok Frens	French language
Wiktionary	Wiktionary
Rasia	Russia
San Paulu	São Paulo
Siamani	Germany
Belaras	Belarus
Tok Jeman	German language
Aislan	Iceland
God	God
Estonia	Estonia
George Walker Bush	George W. Bush
Latvia	Latvia
Yukren	Ukraine
Sek Ripablik	Czech Republic
Slovakia	Slovakia
Vilnius	Vilnius
Romenia	Romania
Balgeria	Bulgaria
Rom	Rome
Albenia	Albania
Greenland	Greenland
Krowesia	Croatia
Azerbaijan	Azerbaijan
Andora	Andorra
Saipras	Cyprus
San Marino	San Marino
Brussels	City of Brussels
Indonisia	Indonesia
Saut Aprika	South Africa
Woso	Warsaw
Tok Aislan	Icelandic language
Jisas	Jesus
Histori	History
Tokples	Language
Yurenes (planet)	Uranus
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomy
Ubuntu	Ubuntu (operating system)
Szczecin	Szczecin
Ol matematik	Mathematics
U2	U2
Tok Latin	Latin
Armenia	Armenia
Sebia	Serbia
Mun (i stap long heven)	Moon
Ostrelia	Australia
Save long laip	Biology
Not Koria	North Korea
Islam	Islam
Lyon	Lyon
Sofia	Sofia
Banana	Banana
San	Sun
Osenia	Oceania
Wikimedia Commons	Wikimedia Commons
Buk	Book
De	Day
Yia	Year
Oslo	Oslo
Katowice	Katowice
Planet	Planet
Lille	Lille
Mosko	Moscow
Tok Itali	Italian language
Niu Silan	New Zealand
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Solomon Islands
Vanuatu	Vanuatu
Papua Niugini	Papua New Guinea
Nauru	Nauru
Ol Masol Ailan	Marshall Islands
Kiribas	Kiribati
Fiji	Fiji
Abus	Animal
At	Art
Budisim	Buddhism
Sayor	Plant
Irak	Iraq
Israel	Israel
Panama	Panama
Yemen	Yemen
Tok Polan	Polish language
Amerika (Kontinen)	Americas
Malaysia	Malaysia
Platon	Plato
Ripablik bilong Saina	Taiwan
Aristoteles	Aristotle
Tailan	Thailand
Vietnam	Vietnam
Saut Koria	South Korea
Socrates	Socrates
Bhutan	Bhutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Yellow
Beijing	Beijing
Gabon	Gabon
Gandi	Mahatma Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leone
Julius Caesar	Julius Caesar
Save long giraun	Geography
Kala	Color
Blu (kala)	Blue
Bill Clinton	Bill Clinton
Yerusalem	Jerusalem
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Spanish language
Mani	Money
Uetersen	Uetersen
Augustus Caesar	Augustus
Trajan	Trajan
Tokyo	Tokyo
Bagdad	Baghdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Catholicism
Baibel	Bible
Ho Chi Minh City	Ho Chi Minh City
Tru Jisas Lotu	True Jesus Church
Tokples Inglis	English language
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Đồng Hới	Đồng Hới
Concepción	Concepción, Chile
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Pope Benedict XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Association football
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Canberra
Ret (kala)	Red
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Category:Wikipedia templates
1960	1960
Freetown	Freetown
Wes Papua	West Papua (region)
Skul	School
Osasku	Osasco
Ples balus Dong Hoi	Dong Hoi Airport
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Confucius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Category:Mathematics
Templet:Country data Iran	Template:Country data Iran
Euro	Euro
Jason Lee	Jason Lee (actor)
Lotu Kristen	Christianity
Kontinen	Continent
Kapitol	Capital city
Monzón	Monzón
Mun (taim)	Month
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japanese language
Ensaiklopedia	Encyclopedia
Fran pes	Main Page
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Bethlehem
Pilosopi	Philosophy
Grup:All articles proposed for deletion	Category:Candidates for speedy deletion
Piano	Piano
Ti	Tea
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Category:Astronomy
Carcassonne	Carcassonne
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Buddhahood
Politikis	Politics
Gavman	Government
Kantri	State (polity)
Kamel	Camel
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Russian language
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Universal Declaration of Human Rights
Tok Balgeria	Bulgarian language
Nelson Mandela	Nelson Mandela
Lajik	Logic
Grama	Grammar
Ikonimikis	Economics
Yen bilong Siapan	Japanese yen
Stadi bilong pasin bilong ol tokples	Linguistics
Hangul	Hangul
Grup:Pranis	Category:France
"Weird Al" Yankovic	"Weird Al" Yankovic
Alexander Makedon	Alexander the Great
Edukesen	Education
Famili	Family
Kopi	Coffee
Sol	Seoul
Tokples long Albenia	Albanian language
Valencia	Valencia
Tok Denmak	Danish language
Tok Nowe	Norwegian language
Tok Slovakia	Slovak language
Tok Hangari	Hungarian language
Tok Lituwenia	Lithuanian language
Tok Belaras	Belarusian language
Tok Gris	Greek language
Tok Aialan	Irish language
Imel	Email
Tokples Pesia	Persian language
Lotu	Religion
Tok Koria	Korean language
Tok Vietnam	Vietnamese language
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Judaism
Immanuel Kant	Immanuel Kant
Saikolosi	Psychology
Sidarta	Gautama Buddha
Martin Luther	Martin Luther
Elisabet II	Elizabeth II
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Periodic table
Diwai	Tree
Kubuntu	Kubuntu
Grup:Romenia	Category:Romania
Egrikalsa	Agriculture
Elektroniks	Electronics
Ol kantri	List of sovereign states
Kensa	Cancer
Soria	Soria
Ponferrada	Ponferrada
Templet:Location map Iceland	Template:Location map Iceland
Villarreal	Villarreal
Templet:Location map Samoa	Template:Location map Samoa
Mislata	Mislata
Kokonas	Coconut
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch language
Kyushu	Kyushu
Honshu	Honshu
Shikoku	Shikoku
Ista Ailan	Easter Island
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen (band)
Freddie Mercury	Freddie Mercury
Wol	World
Vemont	Vermont
Koria	Korea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Nupela Testamen	New Testament
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Pope
Rafael Correa	Rafael Correa
Busares	Bucharest
1928	1928
Olpela Testamen	Old Testament
Indo-Yuropien famili bilong tokples	Indo-European languages
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi Province
Ol Tokples Siamanik	Germanic languages
Sosiolosi	Sociology
Bahai	Bahá'í Faith
Aialan	Ireland
7	7
Wik	Week
Antropolosi	Anthropology
Ailan	Island
Moshchena	Moshchena
Akiolosi	Archaeology
George H. W. Bush	George H. W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quảng Bình Province
Protestan	Protestantism
Bryan Cranston	Bryan Cranston
Bikpela Briten	Great Britain
Kadinol daireksion	Cardinal direction
Lila Downs	Lila Downs
Famili bilong tokples	Language family
Pichilemu	Pichilemu
Pukpuk	Crocodilia
Amerika	Amerika
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Spen)	La Antigua, León
Almanza	Almanza
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Kokomo	Hornbill
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Central America
Kaunti	County
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Valery Leontiev
Tok Hawai	Hawaiian language
Hiri Motu	Hiri Motu language
Niu Kaledonia	New Caledonia
Marlon Brando	Marlon Brando
Tok Pisin	Tok Pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjective
Kristen Otodos	Eastern Orthodox Church
Ido	Ido (language)
44 yia i go bipo Jisas	44 BC
Bislama	Bislama
Hokkaido	Hokkaido
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork (city)
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanesia
.au	.au
.cz	.cz
Maket	Market (economics)
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Sweet potato
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Macroeconomics
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	New Guinea
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 BC
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psychoanalysis
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Flag of Japan
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
