Afrika	Africa
Japonia	Japan
Amerika Jugore	South America
Norvegjia	Norway
Anglia	England
Skocia	Scotland
Uellsi	Wales
Irlanda Veriore	Northern Ireland
Republika e Irlandës	Republic of Ireland
Hungaria	Hungary
Spanja	Spain
Shtetet e Bashkuara të Amerikës	United States
Belgjika	Belgium
Luksemburgu	Luxembourg
Gjithësia	Universe
Toka	Earth
Jeta	Life
Vdekja	Death
Njeriu	Human
Lumturia	Happiness
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Numri i shtazës	Number of the beast
Gjuha lit	Leet
Stanley Kubrick	Stanley Kubrick
Kalendari maja	Maya calendar
Finlanda	Finland
Suedia	Sweden
Danimarka	Denmark
Polonia	Poland
Lituania	Lithuania
Italia	Italy
Zvicra	Switzerland
Austria	Austria
Greqia	Greece
Turqia	Turkey
Birra	Beer
Portugalia	Portugal
Evropa	Europe
Azia	Asia
Amerika Veriore	North America
Antarktiku	Antarctica
Wikipedia	Wikipedia
All your base are belongs to us	All your base are belong to us
Vendet e Ulëta	Netherlands
PHP	PHP
New York City	New York City
Uashington D.C.	Washington, D.C.
San Francisco	San Francisco
Berlini	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Kompjuteri	Computer
Courrendlin	Courrendlin
Berna	Bern
Gjeneva	Geneva
Zyrihu	Zürich
Internet Relay Chat	Internet Relay Chat
Interneti	Internet
Barack Obama	Barack Obama
Uruguaji	Uruguay
Bazeli	Basel
Printeri	Printer (computing)
Londra	London
Kajro	Cairo
Aleksandria	Alexandria
Molla	Apple
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Android (sistemi operativ)	Android (operating system)
Google	Google
Meksika	Mexico
Oqeani Atlantik	Atlantic Ocean
Oqeani Paqësor	Pacific Ocean
Kalifornia	California
Boston	Boston
E hëna	Monday
Hapësira	Space
Janari	January
Shkurti	February
Marsi (muaj)	March
Marsi	Mars
Kenia	Kenya
Etiopia	Ethiopia
Gana	Ghana
Prilli	April
Maji	May
Qershori	June
Korriku	July
Gushti	August
Shtatori	September
Tetori	October
Nëntori	November
Dhjetori	December
E marta	Tuesday
E mërkura	Wednesday
E enjtja	Thursday
E premtja	Friday
E shtuna	Saturday
E diela	Sunday
Luani	Lion
Franca	France
Gjuha esperanto	Esperanto
Qeni	Dog
Mbretëria e Bashkuar e Britanisë së Madhe dhe Irlandës së Veriut	United Kingdom
Macja	Cat
Kina	China
Gjuha frënge	French language
Wiktionary	Wiktionary
Peshku	Fish
Etanoli	Ethanol
Pije alkoolike	Alcoholic beverage
Brazili	Brazil
Alkoolet	Alcohol
François Hollande	François Hollande
Rusia	Russia
