Aprika	Africa
Hapon	Japan
Timog Amerika	South America
Noruwega	Norway
Inglatera	England
Scotland	Scotland
Wales	Wales
Kahilagaang Irlanda	Northern Ireland
Irlanda (bansa)	Republic of Ireland
Unggarya	Hungary
Espanya	Spain
Estados Unidos	United States
Belhika	Belgium
Luxembourg	Luxembourg
Sansinukob	Universe
Daigdig	Earth
Buhay	Life
Kamatayan	Death
Tao	Human
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Number of the beast
Stanley Kubrick	Stanley Kubrick
Finland	Finland
Sweden	Sweden
Dinamarka	Denmark
Poland	Poland
Lithuania	Lithuania
Italya	Italy
Suwisa	Switzerland
Austria	Austria
Gresya	Greece
Turkiya	Turkey
Serbesa	Beer
Portugal	Portugal
Europa	Europe
Asya	Asia
Hilagang Amerika	North America
Antartiko	Antarctica
Wikipedia	Wikipedia
Netherlands	Netherlands
Titi	Penis
PHP	PHP
Lungsod ng New York	New York City
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Angeles, California	Los Angeles
Kompyuter	Computer
Berna	Bern
Hinebra	Geneva
Zürich	Zürich
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
Cairo	Cairo
Alehandriya	Alexandria
Alexandria, Virginia	Alexandria, Virginia
Mansanas	Apple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android (operating system)
Google	Google
Mehiko	Mexico
Karagatang Atlantiko	Atlantic Ocean
Karagatang Pasipiko	Pacific Ocean
California	California
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Lunes	Monday
Enero	January
Pebrero	February
Marso	March
Marte	Mars
Marte (mitolohiya)	Mars (mythology)
Kenya	Kenya
Ethiopia	Ethiopia
Ghana	Ghana
Abril	April
Mayo	May
Hunyo	June
Hulyo	July
Agosto	August
Setyembre	September
Oktubre	October
Nobyembre	November
Disyembre	December
Martes	Tuesday
Miyerkules	Wednesday
Huwebes	Thursday
Biyernes	Friday
Sabado	Saturday
Linggo (araw)	Sunday
Leon	Lion
Pransiya	France
Esperanto	Esperanto
Aso	Dog
United Kingdom	United Kingdom
Pusa	Cat
Kuting	Kitten
Tsina	China
Nyan Cat	Nyan Cat
Wikang Pranses	French language
Wiktionary	Wiktionary
Isda	Fish
Inuming alkohol	Alcoholic beverage
Brazil	Brazil
Alkohol	Alcohol
François Hollande	François Hollande
Rusya	Russia
Cetacea	Cetacea
Parisukat	Square
Dagat	Sea
Dagat Itim	Black Sea
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Quebec
Pasta	Pasta
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemanya	Germany
Belarus	Belarus
Wikang Aleman	German language
Iceland	Iceland
Diyos	God
Estonia	Estonia
David Cameron	David Cameron
Saturno (planeta)	Saturn
Tsokolate	Chocolate
Seresa	Cherry
Eroplano	Airplane
Digmaan	War
1 (bilang)	1 (number)
2 (bilang)	2 (number)
3 (bilang)	3 (number)
4 (bilang)	4 (number)
5 (bilang)	5 (number)
0 (bilang)	0 (number)
Kawalang hangganan	Infinity
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Rectangle
Latbiya	Latvia
Ukraine	Ukraine
Republikang Tseko	Czech Republic
Eslobakya	Slovakia
Eslobenya	Slovenia
Vilna	Vilnius
Moldavia	Moldova
Romania	Romania
Bulgarya	Bulgaria
Roma	Rome
Republika ng Macedonia	Republic of Macedonia
Albanya	Albania
Greenland	Greenland
Kroasya	Croatia
Bosnia at Herzegovina	Bosnia and Herzegovina
Aserbayan	Azerbaijan
Andorra	Andorra
Tsipre	Cyprus
Georgia (bansa)	Georgia (country)
Valonia	Wallonia
Kazakhstan	Kazakhstan
Malta	Malta
Flandes	Flanders
Monako	Monaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vatican City
San Marino	San Marino
Lungsod ng Bruselas	City of Brussels
Kuba	Cuba
Belise	Belize
Toreng Eiffel	Eiffel Tower
Barbados	Barbados
Tipaan (ng kompyuter)	Computer keyboard
Java (wikang pamprograma)	Java (programming language)
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Turkish language
South Africa	South Africa
Linkin Park	Linkin Park
Algeria	Algeria
Uzbekistan	Uzbekistan
Taskent	Tashkent
Varsovia	Warsaw
Paligsahang Pang-awitin ng Eurovision	Eurovision Song Contest
Modena (lungsod)	Modena
Alak	Wine
Tubig	Water
Katad	Leather
Kahoy	Wood
Telebisyon	Television
Pornograpiya	Pornography
Claude Monet	Claude Monet
Chile	Chile
Hesus	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuryo (planeta)	Mercury (planet)
Kasaysayan	History
Apple Inc.	Apple Inc.
Benus (planeta)	Venus
Wika	Language
Pag-ibig	Love
Diktadura	Dictatorship
Galaksiya	Galaxy
Hupiter (planeta)	Jupiter
Daang Magatas	Milky Way
Big Bang	Big Bang
Urano	Uranus
Bretanya	Brittany
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptune
Astronomiya	Astronomy
Singapore	Singapore
Agham	Science
Kosmolohiya	Cosmology
Pluton (astronomiya)	Pluto
Montréal, Québec	Montreal
Malayang sopwer	Free software
Kinabukasan	Future
Maria (ina ni Hesus)	Mary (mother of Jesus)
Louis IX ng Pransiya	Louis IX of France
Liechtenstein	Liechtenstein
Palakasan	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	World War I
Ikalawang Digmaang Pandaigdig	World War II
Cologne	Cologne
Korupsiyon	Corruption
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu (operating system)
Skopje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrolohiya	Metrology
Matematika	Mathematics
U2	U2
Wikang Latin	Latin
Barein	Bahrain
Armenya	Armenia
Kuneiporme	Cuneiform
Higgs boson	Higgs boson
Serbiya	Serbia
Buwan (astronomiya)	Moon
Istanbul	Istanbul
Linda Lovelace	Linda Lovelace
Australya	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiology
Pisika	Physics
Arhentina	Argentina
Telekomunikasyon	Telecommunication
Peru	Peru
Biyolohiya	Biology
UFO	Unidentified flying object
Hilagang Korea	North Korea
Kambodya	Cambodia
Koran	Quran
Dinosauro	Dinosaur
Soolohiya	Zoology
Islam	Islam
Peras	Pear
Liubliana	Ljubljana
Botanika	Botany
Lech Wałęsa	Lech Wałęsa
Gulong	Wheel
Isip	Mind
Kapayapaan	Peace
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	European Union
Plovdiv	Plovdiv
Star Wars	Star Wars
World Wide Web	World Wide Web
Babae	Woman
Sofia	Sofia
Akwedukto	Aqueduct (bridge)
Ñ	Ñ
Don Quixote	Don Quixote
Panulaan	Poetry
Birus ng kompyuter	Computer virus
Ngiti	Smile
Lungsod ng Milano	Milan
Kaibigan	Friendship
Alaala	Memory
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turin
Ipot	Feces
Butas ng puwit	Anus
Kili-kili	Axilla
Lemon	Lemon
Saging	Banana
Émile Zola	Émile Zola
666	666
Bulaklak	Flower
Googol	Googol
Bambang ng Marianas	Mariana Trench
Bundok Everest	Mount Everest
Anatomiya	Anatomy
Lungsod	City
Napoleon I ng Pransiya	Napoleon
Pisyolohiya	Physiology
Bituin	Star
Vesubio	Mount Vesuvius
Araw (astronomiya)	Sun
Louis Pasteur	Louis Pasteur
Sinag-taon	Light-year
Victor Hugo	Victor Hugo
Oceania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Athletics (sport)
Sistemang Pang-araw	Solar System
Dagat Baltiko	Baltic Sea
Champs-Élysées	Champs-Élysées
Ngipin	Tooth
Idrohino	Hydrogen
Helyo	Helium
Impiyerno	Hell
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Purgatory
Angela Merkel	Angela Merkel
Lityo	Lithium
Berilyo	Beryllium
Palakas-tinig	Loudspeaker
Aklat	Book
Araw (panahon)	Day
Silangang Timor	East Timor
Taon	Year
Daang taon	Century
Canegrate	Canegrate
Ilog Rin	Rhine
Oslo	Oslo
Undas	All Saints' Day
Itim na butas	Black hole
Seres (astronomiya)	Ceres (dwarf planet)
Lisboa	Lisbon
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea
Rodano (ilog)	Rhône
Makemake (astronomiya)	Makemake
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Human sexual activity
Kateri Tekakwitha	Kateri Tekakwitha
Eris (astronomiya)	Eris (dwarf planet)
Dubai	Dubai
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padua
Boron	Boron
Nicolaus Copernicus	Nicolaus Copernicus
Karbon	Carbon
Ilog Volga	Volga River
Nitroheno	Nitrogen
Lungsod ng Bergamo	Bergamo
Oksiheno	Oxygen
Planeta	Planet
Cleopatra VII ng Ehipto	Cleopatra
Tugtugin	Music
Lungsod ng Venezia	Venice
Naruto	Naruto
Mosku	Moscow
Plurina	Fluorine
Wikang Italyano	Italian language
Tsiwawa	Chihuahua (dog)
Neon	Neon
Chihuahua	Chihuahua (state)
San Petersburgo	Saint Petersburg
Chad	Chad
Sodyo	Sodium
Magnesyo	Magnesium
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminium
New Zealand	New Zealand
India	India
Silikon	Silicon
Pransiyo	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Phosphorus
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prose
Bakal	Iron
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Sulfur
Samoa	Samoa
Kapuluang Salomon	Solomon Islands
Vanuatu	Vanuatu
Molière	Molière
Kloro	Chlorine
Papua New Guinea	Papua New Guinea
William Shakespeare	William Shakespeare
Pabula	Fable
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Firefox
Kuwentong bibit	Fairy tale
Mga Estadong Pederado ng Mikronesya	Federated States of Micronesia
Potasyo	Potassium
Kalsiyo	Calcium
Tingga	Lead
Kapuluang Marshall	Marshall Islands
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiji
Eskandiyo	Scandium
Stevie Wonder	Stevie Wonder
Titanyo	Titanium
Venezuela	Venezuela
Ahedres	Chess
Genghis Khan	Genghis Khan
Banadyo	Vanadium
Maine	Maine
Kromyo	Chromium
Kabayo	Horse
Amsterdam	Amsterdam
Sandata	Weapon
Hayop	Animal
Surinam	Suriname
Mangganeso	Manganese
Paraguay	Paraguay
Guyana	Guyana
Sining	Art
Ecuador	Ecuador
Colombia	Colombia
Kobalto	Cobalt
Wolpramyo	Tungsten
Budismo	Buddhism
Bolivia	Bolivia
Tanso	Copper
Trinidad at Tobago	Trinidad and Tobago
Halaman	Plant
San Vicente at ang Kagranadinahan	Saint Vincent and the Grenadines
Sink	Zinc
Bagong Hampshire	New Hampshire
Santa Lucia (bansa)	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	Saint Kitts and Nevis
Fungus	Fungus
Hamayka	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	The Bahamas
Connecticut	Connecticut
Manok	Chicken
Antigua at Barbuda	Antigua and Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	Dominican Republic
Baboy	Domestic pig
Karagatang Artiko	Arctic Ocean
Hayti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Iran
Gago	Stupidity
Iraq	Iraq
Alaska	Alaska
Karunungan	Wisdom
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Yemen	Yemen
Birus	Virus
Wikang Polako	Polish language
Hordan	Jordan
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kyrgyzstan
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Lebanon
Oregon	Oregon
Maldives	Maldives
Kaamerikahan	Americas
Utah	Utah
Baka	Cattle
Malaysia	Malaysia
Myanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Tenis	Tennis
Saudi Arabia	Saudi Arabia
Sri Lanka	Sri Lanka
Joseph Stalin	Joseph Stalin
Syria	Syria
Platon	Plato
Tayikistan	Tajikistan
Pokémon	Pokémon
Republika ng Tsina	Taiwan
YouTube	YouTube
Aristoteles	Aristotle
Taylandiya	Thailand
Tren	Train
Arseniko	Arsenic
Radyo	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan
United Arab Emirates	United Arab Emirates
Bromina	Bromine
Platino	Platinum
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Timog Korea	South Korea
The Simpsons	The Simpsons
Yekaterinburg	Yekaterinburg
Kripton	Krypton
Afghanistan	Afghanistan
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nizhny Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Rubidyo	Rubidium
Ginto	Gold
Omsk	Omsk
Agusan ng Suez	Suez Canal
Kazan	Kazan
Bangladesh	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Chelyabinsk	Chelyabinsk
Rostov-on-Don	Rostov-on-Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali (bansa)	Mali
Socrates	Socrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm
Bhutan	Bhutan
Twitter	Twitter
Krasnoyarsk	Krasnoyarsk
Brunei	Brunei
Tanzania	Tanzania
Asoge	Mercury (element)
Roald Amundsen	Roald Amundsen
Pilipinas	Philippines
Republika ng Gitnang Aprika	Central African Republic
Uzumaki Naruto	Naruto Uzumaki
Polong Timog	South Pole
Hilagang Polo	North Pole
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Strontium
Pedro I ng Brasil	Pedro I of Brazil
Itriyo	Yttrium
Bismuto	Bismuth
Dilaw	Yellow
Mekaniks na kwantum	Quantum mechanics
Togo	Togo
Tunisya	Tunisia
John Bardeen	John Bardeen
Sambya	Zambia
Zimbabwe	Zimbabwe
Beijing	Beijing
Timog Sudan	South Sudan
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comoros
Republika ng Congo	Republic of the Congo
Demokratikong Republika ng Congo	Democratic Republic of the Congo
San Antonio, Texas	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meme	Meme
Polonium	Polonium
Bavaria	Bavaria
Gineang Ekwatoriyal	Equatorial Guinea
Eritrea	Eritrea
New Delhi	New Delhi
Papa Juan Pablo II	Pope John Paul II
Fëdor Dostoevskij	Fyodor Dostoyevsky
Tangway ng Kamchatka	Kamchatka Peninsula
Tiflis	Tbilisi
Sanggol	Infant
Astatino	Astatine
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Komiks	Comics
Ang Gambiya	The Gambia
Ginea	Guinea
Ginea-Bissau	Guinea-Bissau
Côte d'Ivoire	Ivory Coast
Cameroon	Cameroon
Kabo Berde	Cape Verde
Lesoto	Lesotho
Liberia	Liberia
Libya	Libya
Aachen	Aachen
Madagascar	Madagascar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauritania
Mauritius	Mauritius
Maruekos	Morocco
Mozambique	Mozambique
Namibia	Namibia
Niger	Niger
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyo	Zirconium
Santo Tome at Prinsipe	São Tomé and Príncipe
Senegal	Senegal
Seychelles	Seychelles
Carl Linnaeus	Carl Linnaeus
Sierra Leone	Sierra Leone
Somalia	Somalia
Julio Cesar	Julius Caesar
Sudan	Sudan
Swaziland	Swaziland
Bahaghari	Rainbow
Metabolismo	Metabolism
Sistemang immuno	Immune system
Gujarat	Gujarat
Ebolusyon	Evolution
Mga Nagkakaisang Bansa	United Nations
Dante Alighieri	Dante Alighieri
Heolohiya	Geology
Ahmedabad	Ahmedabad
Heograpiya	Geography
Puso (anatomiya)	Heart
Utak	Brain
Balat (anatomiya)	Skin
Kulay	Color
Pangngalan	Noun
Praga	Prague
Bughaw	Blue
Pilak	Silver
Star Trek	Star Trek
Lata	Tin
Uranyo	Uranium
Antimonyo	Antimony
Plutonyo	Plutonium
Iodine	Iodine
Henon (elemento)	Xenon
Anime	Anime
Sesyo	Caesium
Karga ng kuryente	Electric charge
Baryo (elemento)	Barium
Aktinyo	Actinium
Bill Clinton	Bill Clinton
Radyo (elemento)	Radium
Radon	Radon
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercury (mythology)
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Goa	Goa
Borgonya	Burgundy
Maurice Ravel	Maurice Ravel
Aquitania	Aquitaine
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	North Rhine-Westphalia
Hesse	Hesse
Sahonya	Saxony
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	North Dakota
Brandeburgo	Brandenburg
Lombardy	Lombardy
Timog Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piedmont
Herusalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Aosta Valley
Washington	Washington (state)
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige/Südtirol
Karagatang Indiyano	Indian Ocean
Veneto	Veneto
Kosovo	Kosovo
Dagat Karibe	Caribbean Sea
Boryo	Bohrium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
